id,page_views,user_group
1217,126,Group1
1218,126,Group1
1219,125,Group1
1220,125,Group1
1221,125,Group1
1222,124,Group1
1223,124,Group1
1224,124,Group1
1225,124,Group1
1226,124,Group1
1227,124,Group1
1228,123,Group1
1229,123,Group1
1230,123,Group1
1231,122,Group1
1232,122,Group1
1233,122,Group1
1234,122,Group1
1235,122,Group1
1236,121,Group1
1237,121,Group1
1238,121,Group1
1239,121,Group1
1240,120,Group1
1241,120,Group1
1242,120,Group1
1243,120,Group1
1244,120,Group1
1245,120,Group1
1246,120,Group1
1247,120,Group1
1248,119,Group1
1249,119,Group1
1250,119,Group1
1251,119,Group1
1252,119,Group1
1253,119,Group1
1254,118,Group1
1255,118,Group1
1256,118,Group1
1257,118,Group1
1258,117,Group1
1259,117,Group1
1260,117,Group1
1261,117,Group1
1262,117,Group1
1263,117,Group1
1264,116,Group1
1265,116,Group1
1266,116,Group1
1267,116,Group1
1268,116,Group1
1269,115,Group1
1270,115,Group1
1271,115,Group1
1272,115,Group1
1273,114,Group1
1274,114,Group1
1275,114,Group1
1276,114,Group1
1277,114,Group1
1278,113,Group1
1279,113,Group1
1280,113,Group1
1281,112,Group1
1282,112,Group1
1283,112,Group1
1284,111,Group1
1285,111,Group1
1286,111,Group1
1287,111,Group1
1288,110,Group1
1289,110,Group1
1290,110,Group1
1291,110,Group1
1292,109,Group1
1293,109,Group1
1294,109,Group1
1295,109,Group1
1296,109,Group1
1297,109,Group1
1298,109,Group1
1299,108,Group1
1300,108,Group1
1301,108,Group1
1302,107,Group1
1303,107,Group1
1304,107,Group1
1305,107,Group1
1306,107,Group1
1307,107,Group1
1308,106,Group1
1309,106,Group1
1310,106,Group1
1311,105,Group1
1312,105,Group1
1313,105,Group1
1314,105,Group1
1315,104,Group1
1316,104,Group1
1317,104,Group1
1318,104,Group1
1319,104,Group1
1320,104,Group1
1321,104,Group1
1322,104,Group1
1323,103,Group1
1324,103,Group1
1325,103,Group1
1326,103,Group1
1327,103,Group1
1328,103,Group1
1329,103,Group1
1330,102,Group1
1331,102,Group1
1332,102,Group1
1333,102,Group1
1334,102,Group1
1335,101,Group1
1336,101,Group1
1337,101,Group1
1338,101,Group1
1339,101,Group1
1340,100,Group1
1341,100,Group1
1342,100,Group1
1343,100,Group1
1344,100,Group1
1345,100,Group1
1346,100,Group1
1347,99,Group1
1348,99,Group1
1349,99,Group1
1350,99,Group1
1351,99,Group1
1352,98,Group1
1353,98,Group1
1354,98,Group1
1355,98,Group1
1356,98,Group1
1357,98,Group1
1358,97,Group1
1359,97,Group1
1360,97,Group1
1361,97,Group1
1362,97,Group1
1363,97,Group1
1364,96,Group1
1365,96,Group1
1366,96,Group1
1367,96,Group1
1368,96,Group1
1369,95,Group1
1370,95,Group1
1371,95,Group1
1372,94,Group1
1373,94,Group1
1374,94,Group1
1375,94,Group1
1376,94,Group1
