id,sent_requests,user_group
663,43,Group1
664,42,Group1
665,42,Group1
666,42,Group2
667,41,Group1
668,41,Group1
669,41,Group1
670,41,Group1
671,41,Group1
672,41,Group1
673,41,Group2
674,41,Group1
675,41,Group1
676,40,Group1
677,40,Group1
678,40,Group1
679,40,Group1
680,40,Group1
681,40,Group1
682,39,Group1
683,39,Group2
684,39,Group1
685,39,Group1
686,39,Group2
687,38,Group1
688,38,Group2
689,38,Group1
690,37,Group2
691,37,Group1
692,37,Group1
693,37,Group1
694,37,Group1
695,37,Group1
696,37,Group1
697,36,Group2
698,36,Group2
699,36,Group1
700,36,Group1
701,36,Group1
702,36,Group1
703,35,Group1
704,35,Group1
705,35,Group2
706,35,Group2
707,35,Group1
708,35,Group1
709,35,Group1
710,34,Group1
711,34,Group1
712,34,Group1
713,34,Group2
714,34,Group2
715,34,Group2
716,34,Group1
717,34,Group1
718,33,Group1
719,33,Group1
720,33,Group1
721,33,Group1
722,33,Group1
723,33,Group1
724,33,Group1
725,33,Group1
726,33,Group1
727,33,Group2
728,33,Group1
729,32,Group2
730,32,Group1
731,32,Group2
732,32,Group1
733,32,Group1
734,32,Group2
735,32,Group1
736,32,Group1
737,32,Group1
738,32,Group1
739,31,Group1
740,31,Group1
741,31,Group1
742,31,Group2
743,31,Group1
744,31,Group1
745,31,Group2
746,31,Group1
747,30,Group1
748,30,Group1
749,30,Group1
750,30,Group1
751,30,Group1
752,30,Group1
753,29,Group1
754,29,Group1
755,29,Group1
756,29,Group1
757,29,Group1
758,29,Group1
759,29,Group1
760,29,Group1
761,29,Group2
762,28,Group1
763,28,Group1
764,28,Group1
765,28,Group1
766,28,Group2
767,28,Group1
768,28,Group1
769,28,Group1
770,28,Group2
771,28,Group1
772,28,Group1
773,28,Group1
774,28,Group2
775,28,Group1
776,28,Group2
777,27,Group2
778,27,Group1
779,27,Group1
780,27,Group1
781,27,Group2
782,27,Group1
783,27,Group1
784,27,Group1
785,26,Group1
786,26,Group1
787,26,Group1
788,26,Group1
789,26,Group1
790,26,Group1
791,26,Group1
792,26,Group1
793,26,Group1
794,26,Group1
795,26,Group1
796,26,Group1
797,26,Group1
798,25,Group2
799,25,Group1
800,25,Group2
801,25,Group1
802,25,Group2
803,25,Group1
804,25,Group1
805,25,Group2
806,25,Group1
807,25,Group2
808,24,Group1
809,24,Group1
810,24,Group1
811,24,Group1
812,24,Group1
813,24,Group2
814,24,Group1
815,24,Group1
816,24,Group1
817,24,Group1
818,24,Group2
819,24,Group2
820,24,Group1
821,23,Group1
822,23,Group1
823,23,Group1
824,23,Group2
825,23,Group1
826,23,Group2
827,23,Group1
828,23,Group2
829,23,Group2
830,23,Group1
831,23,Group1
832,23,Group2
833,23,Group2
834,23,Group1
835,23,Group2
836,23,Group1
837,23,Group2
838,23,Group1
839,23,Group1
840,23,Group1
841,22,Group2
842,22,Group1
843,22,Group2
844,22,Group1
845,22,Group2
846,22,Group1
847,22,Group1
848,22,Group2
849,22,Group1
850,22,Group2
851,22,Group1
852,22,Group1
853,22,Group1
854,22,Group1
855,22,Group1
856,21,Group2
857,21,Group2
858,21,Group1
859,21,Group1
860,21,Group1
861,21,Group1
862,21,Group1
863,21,Group1
864,21,Group2
865,21,Group1
866,20,Group1
867,20,Group1
868,20,Group2
869,20,Group2
870,20,Group2
871,20,Group1
872,20,Group1
873,20,Group2
874,20,Group1
875,20,Group1
876,20,Group2
877,20,Group1
878,20,Group1
879,20,Group1
880,20,Group1
881,20,Group1
882,20,Group1
883,19,Group1
884,19,Group2
885,19,Group2
886,19,Group2
887,19,Group1
888,19,Group1
889,19,Group2
890,19,Group2
891,19,Group1
892,19,Group2
893,18,Group1
894,18,Group1
895,18,Group1
896,18,Group1
897,18,Group1
898,18,Group2
899,18,Group2
900,18,Group2
901,18,Group1
902,18,Group2
903,18,Group2
904,18,Group1
905,18,Group1
906,18,Group1
907,18,Group2
908,18,Group1
909,18,Group2
910,18,Group1
911,18,Group1
912,18,Group1
913,18,Group1
914,18,Group1
915,17,Group1
916,17,Group1
917,17,Group1
918,17,Group1
919,17,Group1
920,17,Group1
921,17,Group1
922,17,Group2
923,17,Group2
924,17,Group1
925,17,Group1
926,17,Group1
927,17,Group1
928,17,Group1
929,17,Group1
930,16,Group2
931,16,Group1
932,16,Group1
933,16,Group1
934,16,Group1
935,16,Group1
936,16,Group2
937,16,Group2
938,16,Group2
939,16,Group1
940,16,Group2
941,16,Group2
942,16,Group1
943,16,Group1
944,16,Group1
945,16,Group2
946,16,Group1
947,16,Group1
948,16,Group1
949,16,Group2
950,15,Group2
951,15,Group1
952,15,Group2
953,15,Group1
954,15,Group2
955,15,Group2
956,15,Group1
957,15,Group2
958,15,Group2
959,15,Group1
960,15,Group2
961,15,Group1
962,15,Group2
963,15,Group2
964,15,Group2
965,15,Group2
966,15,Group1
967,15,Group1
968,15,Group1
969,15,Group2
970,15,Group2
971,15,Group1
972,15,Group1
973,15,Group1
974,14,Group1
975,14,Group2
976,14,Group1
977,14,Group2
978,14,Group2
979,14,Group1
980,14,Group1
981,14,Group1
982,14,Group1
983,14,Group2
984,14,Group1
985,14,Group1
986,14,Group1
987,14,Group1
988,14,Group1
989,14,Group1
990,14,Group1
991,14,Group1
992,14,Group1
993,14,Group1
994,14,Group2
995,14,Group1
996,14,Group1
997,14,Group2
998,14,Group1
999,14,Group1
1000,14,Group1
1001,13,Group2
1002,13,Group2
1003,13,Group2
1004,13,Group1
1005,13,Group1
1006,13,Group1
1007,13,Group1
1008,13,Group1
1009,13,Group1
1010,13,Group1
1011,13,Group1
1012,13,Group1
1013,13,Group1
1014,13,Group1
1015,13,Group2
1016,13,Group1
1017,13,Group2
1018,13,Group1
1019,13,Group1
1020,13,Group2
1021,13,Group1
1022,12,Group1
1023,12,Group1
1024,12,Group1
1025,12,Group1
1026,12,Group2
1027,12,Group2
1028,12,Group2
1029,12,Group1
1030,12,Group1
1031,12,Group2
1032,12,Group1
1033,12,Group1
1034,12,Group1
1035,12,Group1
1036,12,Group1
1037,12,Group2
1038,12,Group1
1039,12,Group1
1040,12,Group2
1041,12,Group2
1042,12,Group2
1043,12,Group2
1044,11,Group1
1045,11,Group2
1046,11,Group1
1047,11,Group2
1048,11,Group1
1049,11,Group2
1050,11,Group1
1051,11,Group1
1052,11,Group2
1053,11,Group1
1054,11,Group2
1055,11,Group1
1056,11,Group2
1057,11,Group1
1058,11,Group1
1059,11,Group1
1060,11,Group1
1061,11,Group1
1062,11,Group1
1063,11,Group1
1064,11,Group2
1065,11,Group1
1066,11,Group1
1067,11,Group1
1068,11,Group2
1069,10,Group1
1070,10,Group1
1071,10,Group2
1072,10,Group1
1073,10,Group1
1074,10,Group1
1075,10,Group2
1076,10,Group1
1077,10,Group1
1078,10,Group2
1079,10,Group1
1080,10,Group1
1081,10,Group2
1082,10,Group1
1083,10,Group2
1084,10,Group2
1085,10,Group2
1086,10,Group1
1087,10,Group2
1088,10,Group1
1089,10,Group2
1090,10,Group2
1091,10,Group1
1092,10,Group2
1093,10,Group1
1094,10,Group1
1095,10,Group1
1096,10,Group1
1097,10,Group1
1098,10,Group2
1099,10,Group1
1100,10,Group1
1101,10,Group1
1102,10,Group1
1103,10,Group1
1104,10,Group1
1105,10,Group1
1106,10,Group2
1107,10,Group2
1108,10,Group2
1109,9,Group2
1110,9,Group1
1111,9,Group1
1112,9,Group2
1113,9,Group1
1114,9,Group2
1115,9,Group1
1116,9,Group1
1117,9,Group1
1118,9,Group1
1119,9,Group2
1120,9,Group1
1121,9,Group1
1122,9,Group1
1123,9,Group1
1124,9,Group1
1125,9,Group1
1126,9,Group2
1127,9,Group1
1128,9,Group1
1129,9,Group1
1130,9,Group1
1131,9,Group1
1132,9,Group1
1133,9,Group1
1134,9,Group1
1135,9,Group1
1136,9,Group1
1137,8,Group2
1138,8,Group1
1139,8,Group1
1140,8,Group1
1141,8,Group1
1142,8,Group1
1143,8,Group1
1144,8,Group1
1145,8,Group1
1146,8,Group1
1147,8,Group1
1148,8,Group1
1149,8,Group2
1150,8,Group1
1151,8,Group1
1152,8,Group1
1153,8,Group2
1154,8,Group1
1155,8,Group2
1156,8,Group1
1157,8,Group2
1158,8,Group1
1159,8,Group1
1160,8,Group1
1161,8,Group2
1162,8,Group1
1163,8,Group2
1164,8,Group1
1165,8,Group1
1166,8,Group1
1167,8,Group2
1168,8,Group2
1169,8,Group1
1170,8,Group2
1171,8,Group2
1172,8,Group2
1173,7,Group1
1174,7,Group2
1175,7,Group1
1176,7,Group1
1177,7,Group1
1178,7,Group2
1179,7,Group1
1180,7,Group2
1181,7,Group1
1182,7,Group2
1183,7,Group2
1184,7,Group1
1185,7,Group1
1186,7,Group2
1187,7,Group2
1188,7,Group2
1189,7,Group1
1190,7,Group2
1191,7,Group1
1192,7,Group1
1193,7,Group1
1194,7,Group2
1195,7,Group2
1196,7,Group2
1197,7,Group2
1198,7,Group1
1199,7,Group1
1200,7,Group2
1201,7,Group2
1202,7,Group2
1203,7,Group1
1204,7,Group2
1205,7,Group2
1206,7,Group1
1207,7,Group2
1208,7,Group2
1209,7,Group2
1210,7,Group1
1211,7,Group2
1212,7,Group1
1213,7,Group2
1214,7,Group1
1215,7,Group1
1216,7,Group1
1217,6,Group1
1218,6,Group1
1219,6,Group1
1220,6,Group2
1221,6,Group2
1222,6,Group1
1223,6,Group2
1224,6,Group1
1225,6,Group1
1226,6,Group1
1227,6,Group1
1228,6,Group2
1229,6,Group1
1230,6,Group2
1231,6,Group2
1232,6,Group1
1233,6,Group2
1234,6,Group1
1235,6,Group1
1236,6,Group2
1237,6,Group1
1238,6,Group1
1239,6,Group1
1240,6,Group2
1241,6,Group2
1242,6,Group2
1243,6,Group2
1244,6,Group2
1245,6,Group1
1246,6,Group1
1247,6,Group1
1248,6,Group1
1249,6,Group1
1250,6,Group2
1251,6,Group1
1252,6,Group1
1253,6,Group1
1254,6,Group1
1255,6,Group1
1256,6,Group2
1257,6,Group1
1258,6,Group2
1259,6,Group1
1260,6,Group1
1261,6,Group1
1262,6,Group2
1263,6,Group1
1264,6,Group1
1265,6,Group1
1266,5,Group2
1267,5,Group2
1268,5,Group1
1269,5,Group1
1270,5,Group1
1271,5,Group1
1272,5,Group1
1273,5,Group1
1274,5,Group2
1275,5,Group2
1276,5,Group1
1277,5,Group2
1278,5,Group1
1279,5,Group2
1280,5,Group2
1281,5,Group1
1282,5,Group2
1283,5,Group1
1284,5,Group1
1285,5,Group1
1286,5,Group2
1287,5,Group2
1288,5,Group2
1289,5,Group1
1290,5,Group2
1291,5,Group1
1292,5,Group1
1293,5,Group1
1294,5,Group1
1295,5,Group2
1296,5,Group2
1297,5,Group1
1298,5,Group1
1299,5,Group1
1300,5,Group2
1301,5,Group2
1302,5,Group2
1303,5,Group2
1304,5,Group1
1305,5,Group2
1306,5,Group1
1307,5,Group2
1308,5,Group2
1309,5,Group2
1310,5,Group1
1311,5,Group1
1312,5,Group1
1313,5,Group2
1314,5,Group2
1315,5,Group1
1316,5,Group1
1317,4,Group1
1318,4,Group1
1319,4,Group1
1320,4,Group1
1321,4,Group1
1322,4,Group1
1323,4,Group2
1324,4,Group1
1325,4,Group1
1326,4,Group1
1327,4,Group1
1328,4,Group2
1329,4,Group1
1330,4,Group1
1331,4,Group1
1332,4,Group1
1333,4,Group2
1334,4,Group1
1335,4,Group2
1336,4,Group2
1337,4,Group1
1338,4,Group2
1339,4,Group2
1340,4,Group1
1341,4,Group1
1342,4,Group1
1343,4,Group1
1344,4,Group2
1345,4,Group1
1346,4,Group2
1347,4,Group1
1348,4,Group1
1349,4,Group1
1350,4,Group2
1351,4,Group2
1352,4,Group1
1353,4,Group2
1354,4,Group2
1355,4,Group2
1356,4,Group1
1357,4,Group1
1358,4,Group2
1359,4,Group1
1360,4,Group1
1361,4,Group2
1362,4,Group2
1363,4,Group1
1364,4,Group2
1365,4,Group1
1366,4,Group1
1367,4,Group2
1368,4,Group1
1369,4,Group1
1370,4,Group2
1371,4,Group2
1372,4,Group2
1373,4,Group1
1374,4,Group2
1375,4,Group1
1376,4,Group1
1377,4,Group2
1378,4,Group1
1379,4,Group2
1380,4,Group2
1381,4,Group2
1382,4,Group1
1383,4,Group2
1384,4,Group1
1385,4,Group2
1386,4,Group1
1387,4,Group2
1388,4,Group1
1389,4,Group2
1390,4,Group2
1391,4,Group2
1392,4,Group2
1393,4,Group1
1394,4,Group2
1395,4,Group2
1396,4,Group1
1397,4,Group1
1398,4,Group2
1399,4,Group1
1400,4,Group1
1401,4,Group1
1402,4,Group1
1403,4,Group1
1404,3,Group1
1405,3,Group1
1406,3,Group1
1407,3,Group2
1408,3,Group1
1409,3,Group1
1410,3,Group1
1411,3,Group1
1412,3,Group1
1413,3,Group1
1414,3,Group1
1415,3,Group1
1416,3,Group1
1417,3,Group1
1418,3,Group1
1419,3,Group1
1420,3,Group1
1421,3,Group2
1422,3,Group1
1423,3,Group2
1424,3,Group1
1425,3,Group2
1426,3,Group1
1427,3,Group1
1428,3,Group1
1429,3,Group2
1430,3,Group1
1431,3,Group1
1432,3,Group1
1433,3,Group2
1434,3,Group1
1435,3,Group1
1436,3,Group2
1437,3,Group2
1438,3,Group1
1439,3,Group2
1440,3,Group1
1441,3,Group2
1442,3,Group2
1443,3,Group1
1444,3,Group2
1445,3,Group1
1446,3,Group2
1447,3,Group1
1448,3,Group2
